Member_number,Date,itemDescription
2946,07-10-2015,Aces 2010 Seven Deuce White
2426,08-09-2015,A&D Monólogo Arinto P24
4170,03-05-2015,A&D Monólogo Avesso P67 Essência
1109,06-04-2015,A Grower's Touch Chadronnay
3429,04-01-2015,Adelsheim Stoller Chardonnay (all vintages)
2055,04-02-2015,Achard-Vincent
2480,20-09-2015,A Grower's Touch Semillon
2441,30-05-2015,A&D Monólogo Avesso P67 Essência
1054,04-10-2015,A Grower's Touch Semillon
4818,11-01-2015,Adelsheim Willamette Valley Pinot Noirs (2008 and earlier)
3379,21-01-2015,Adirondack Wines
3939,10-02-2015,Ad Hoc 'Avant Gardener' Cabernet Malbec 
1367,05-08-2015,A Blooming Hill 2009 Pinot Gris
1043,10-01-2015,A Grower's Touch Chadronnay
2231,17-10-2015,A Grower's Touch Semillon
3235,28-12-2015,A&D Monólogo Sauvignon Blanc P704
4554,16-07-2015,A Blooming Hill 2008 Mingle
3245,24-01-2015,A Grower's Touch Durif
2996,19-05-2015,Aalto Wines
2507,05-01-2015,AA Badenhorst Family Wines
4186,25-10-2015,Adler Fels
3929,28-04-2015,A&D Monólogo Sauvignon Blanc P704
3760,22-11-2015,A Blooming Hill 2008 Pinot Noir
4928,18-08-2015,A Grower's Touch Durif
4217,18-12-2015,Adnams Wine
1174,11-02-2015,A Blooming Hill 2009 Pinot Noir
4103,19-06-2015,A Blooming Hill 2008 Pinot Noir
4408,13-03-2015,A Blooming Hill 2008 Pinot Noir
2588,28-12-2015,A Grower's Touch Chadronnay
2598,11-11-2015,A&D Singular
1518,11-12-2015,A Grower's Touch Semillon
2702,08-04-2015,A Blooming Hill 2008 Mingle
1001,20-01-2015,A Grower's Touch Semillon
2270,30-09-2015,Aalto Wines
2838,10-11-2015,A Blooming Hill 2009 Pinot Noir
1683,26-05-2015,A&D Monólogo Sauvignon Blanc P704
4040,03-04-2015,A&D Monólogo Avesso P67
3897,23-08-2015,A Blooming Hill 2009 Pinot Gris
2200,11-03-2015,Aalto Wines
4073,29-01-2015,Aalto Wines
3700,19-04-2015,A Blooming Hill 2009 Pinot Gris
3973,10-06-2015,A Blooming Hill 2009 Pinot Noir
2715,06-07-2015,Abel Charlot Brut NV
3967,23-11-2015,A Blooming Hill 2008 Pinot Noir
4002,03-09-2015,A Blooming Hill 2008 Mingle
2962,01-03-2015,A&D Monólogo Arinto P24
4340,25-12-2015,A&D Liv Rosé
2092,06-11-2015,Achard-Vincent
3143,24-05-2015,Abacela Wines
2209,03-10-2015,Ad Hoc 'Mixmaster' Blended White
2816,22-08-2015,Adastra 2012 Chardonnay
2659,01-06-2015,A&D Monólogo Malvasia Fina P70
1588,13-10-2015,A&D Monólogo Avesso P67 Essência
1144,15-10-2015,Adair Black Currant Kir
2166,10-12-2015,A&D Monólogo Avesso P67 Essência
3300,06-10-2015,A&D Monólogo Malvasia Fina P70
3944,03-01-2015,Adastra 2012 Chardonnay
4979,24-04-2015,Abacela Wines
2630,21-01-2015,Adelsheim Stoller Chardonnay (all vintages)
4240,29-04-2015,A&D Monólogo Avesso P67
2357,08-07-2015,Aces 2010 Seven Deuce White
1743,18-04-2015,Adrice 2014 Pardonné Pinot Noir
2331,15-02-2015,A&D Monólogo Avesso P67 Essência
1643,28-04-2015,A&D Monólogo Avesso P67
1291,20-03-2015,Adelsheim Elizabeth Reserve Pinot Noirs (2008 and earlier)
3675,04-07-2015,A Blooming Hill 2008 Pinot Noir
4134,06-11-2015,Adair 2011 Mountain White
1363,21-06-2015,Adrice 2014 Riveter Red Washington Cabernet Sauvignon
4212,01-05-2015,A Blooming Hill 2009 Pinot Gris
1500,21-03-2015,A Blooming Hill 2008 Pinot Noir
2622,01-10-2015,A Blooming Hill 2009 Pinot Gris
3543,18-03-2015,A Blooming Hill 2008 Mingle
2525,24-05-2015,Adrice 2014 Santé Syrah
1264,12-10-2015,A&D Liv
3601,06-07-2015,Adair 2012 Black Currant Kir Rouge
1771,23-03-2015,A Grower's Touch Semillon
4694,06-02-2015,AA Badenhorst Family Wines
1122,21-12-2015,A&D Monólogo Arinto P24
3507,12-08-2015,A Blooming Hill 2009 Pinot Gris
4524,26-04-2015,A Grower's Touch Chadronnay
3612,27-09-2015,A&D Monólogo Avesso P67 Essência
3262,11-06-2015,Adelsheim Elizabeth Reserve Pinot Noirs (2008 and earlier)
1897,25-01-2015,A&D Quinta Dos Espinhosos
1656,30-10-2015,Adrice 2015 Alter Ego Washington Cabernet Sauvignon
3953,10-01-2015,A&D Quinta Dos Espinhosos
1488,21-06-2015,A Grower's Touch Durif
1652,17-03-2015,A Blooming Hill 2009 Pinot Gris
4953,16-09-2015,A Gust of Sun (except 2010 Niagara)
3445,30-04-2015,Aces 2010 Seven Deuce White
3180,15-03-2015,A Blooming Hill 2008 Pinot Noir
4934,06-09-2015,A Blooming Hill 2009 Pinot Noir
2980,27-04-2015,Ad Hoc 'Mixmaster' Blended White
2763,13-02-2015,A&D Monólogo Sauvignon Blanc P704
4819,04-03-2015,A&D Singular
3169,02-07-2015,Aalto Wines
1850,11-03-2015,A Grower's Touch Chadronnay
4285,29-12-2015,A Blooming Hill 2008 Pinot Noir
4366,13-08-2015,Aces 2010 Seven Deuce White
2253,16-06-2015,A&D Monólogo Arinto P24
3398,11-03-2015,A Blooming Hill 2008 Mingle
2215,22-07-2015,Adrice 2015 Etouffant Red Mountain Merlot
3737,03-03-2015,A&D Monólogo Arinto P24
2649,28-11-2015,A&D Casa Do Arrabalde
3203,07-08-2015,A Grower's Touch Chadronnay
4261,16-02-2015,A&D Monólogo Arinto P24
2435,17-07-2015,Adastra 2012 Chardonnay
2046,21-08-2015,Ad Hoc 'Nitty Gritty' Pinot Grigio
4267,11-02-2015,A Grower's Touch Durif
1086,28-12-2015,A Blooming Hill 2009 Pinot Noir
1992,04-01-2015,A Grower's Touch Durif
3622,26-07-2015,Aces 2010 Seven Deuce White
4700,27-06-2015,Abacela Wines
2272,16-05-2015,A Blooming Hill 2009 Pinot Noir
1663,19-05-2015,A&D Quinta Dos Espinhosos
2519,03-06-2015,Aces 2010 Seven Deuce White
2639,30-10-2015,A&D Monólogo Avesso P67 Essência
1466,19-04-2015,A Grower's Touch Durif
4122,23-10-2015,A Blooming Hill 2008 Pinot Noir
3598,15-04-2015,A&D Quinta Dos Espinhosos
3097,10-08-2015,Aalto Wines
1873,19-09-2015,A&D Monólogo Avesso P67 Essência
1537,01-02-2015,A&D Monólogo Arinto P24
3960,25-03-2015,A Blooming Hill 2008 Mingle
1136,15-06-2015,Aces 2010 Flush Bush
2453,21-12-2015,A&D Monólogo Avesso P67
1746,15-02-2015,Adrice 2015 Niche Syrah
3572,09-06-2015,Ad Hoc 'The Riddler' Sparkling Wine
3246,24-06-2015,Abacela Wines
3207,26-11-2015,Ad Hoc 'Mixmaster' Blended White
1042,12-02-2015,A Grower's Touch Durif
1176,30-03-2015,A Blooming Hill 2008 Pinot Noir
3054,23-02-2015,A Grower's Touch Semillon
4486,02-12-2015,A Grower's Touch Semillon
1580,05-12-2015,A Blooming Hill 2009 Pinot Gris
1623,02-11-2015,A Grower's Touch Semillon
4169,24-11-2015,A Blooming Hill 2008 Pinot Noir
2254,24-01-2015,A Grower's Touch Semillon
4095,01-11-2015,A Blooming Hill 2009 Pinot Gris
1264,17-11-2015,A&D Monólogo Arinto P24
3375,06-01-2015,A&D Quinta Dos Espinhosos
3242,23-05-2015,A&D Monólogo Arinto P24
2227,07-06-2015,A Blooming Hill 2009 Pinot Gris
3847,03-12-2015,A&D Monólogo Malvasia Fina P70
3897,31-05-2015,A&D Monólogo Malvasia Fina P70
1799,27-09-2015,Adelsheim Stoller Chardonnay (all vintages)
2920,26-04-2015,A Blooming Hill 2008 Pinot Noir
3713,31-01-2015,Adair 2012 Black Currant Kir Rouge
4230,05-11-2015,A&D Singular
1455,18-03-2015,Abel Charlot Brut NV
3687,18-03-2015,A Grower's Touch Semillon
3869,01-08-2015,A&D Monólogo Avesso P67 Essência
2988,14-10-2015,Ad Hoc 'Mixmaster' Blended White
4242,30-03-2015,A&D Monólogo Arinto P24
4118,24-12-2015,Adair 2011 Mountain White
4996,24-10-2015,Ad Hoc 'Nitty Gritty' Pinot Grigio
4489,04-03-2015,A Blooming Hill 2009 Pinot Gris
1199,09-11-2015,Ad Hoc 'Mixmaster' Blended Red
4108,12-05-2015,Abel Charlot Brut NV
3484,05-06-2015,A&D Liv
1239,31-08-2015,A&D Monólogo Chardonnay P706
4839,19-12-2015,A Blooming Hill 2008 Pinot Noir
4748,07-05-2015,A Blooming Hill 2009 Pinot Noir
4426,06-06-2015,Ad Hoc 'Mixmaster' Blended White
3571,11-12-2015,Adrice 2016 Fool's Gold Bourbon Syrah
2852,08-06-2015,A Grower's Touch Chadronnay
3638,26-05-2015,A&D Quinta Dos Espinhosos
3635,10-03-2015,A Blooming Hill 2009 Pinot Gris
2723,07-05-2015,Adair 2011 Landmark White
3495,11-03-2015,A Blooming Hill 2008 Pinot Noir
2813,16-11-2015,A Blooming Hill 2009 Chardonnay
2799,02-09-2015,Aces 2009 Pocket Kings Red Wine
4723,22-05-2015,A Blooming Hill 2008 Mingle
3313,08-04-2015,A&D Monólogo Sauvignon Blanc P704
4748,15-12-2015,Aces 2010 Seven Deuce White
2991,16-02-2015,A Blooming Hill 2008 Pinot Noir
1483,01-04-2015,A Blooming Hill 2008 Mingle
3950,01-10-2015,Adrice 2016 La Montagna Nebbiolo
1634,16-01-2015,A&D Monólogo Chardonnay P706
2694,21-11-2015,A Blooming Hill 2008 Mingle
2707,18-10-2015,Adelsheim Elizabeth Reserve Pinot Noirs (2008 and earlier)
2813,16-07-2015,Abacela Wines
2276,11-01-2015,Aces 2010 Seven Deuce White
4726,06-02-2015,A Blooming Hill 2008 Pinot Noir
4353,25-05-2015,Ad Hoc 'Mixmaster' Blended White
4017,13-08-2015,A&D Quinta Dos Espinhosos
1422,21-08-2015,A Blooming Hill 2009 Pinot Gris
2714,15-03-2015,A&D Monólogo Avesso P67
2769,21-07-2015,AchA Red 2009
4166,30-04-2015,A&D Monólogo Arinto P24
3614,02-03-2015,A Grower's Touch Chadronnay
